127.0.0.1, 2016-06-22 18:57:29, GET, /admin/default/index, HTTP/1.1, 200, 0.271000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.005000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.074000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.099000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.158000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.143000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.016000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.023000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2016-06-22 18:57:29, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.045000
